排名,短期,長期,最終獲利,報酬率,交易次數

1,147,184,'16697.339999999996507540345191955566,'66.9734,4
2,148,184,'16697.339999999996507540345191955566,'66.9734,4
3,146,185,'16562.699999999997089616954326629639,'65.6270,4
4,149,183,'16485.799999999999272404238581657410,'64.8580,4
5,148,183,'16479.330000000001746229827404022217,'64.7933,4
6,147,185,'16334.959999999999126885086297988892,'63.3496,4
7,147,182,'16310.180000000000291038304567337036,'63.1018,4
8,150,182,'16221.839999999998326529748737812042,'62.2184,4
9,147,183,'16186.740000000001600710675120353699,'61.8674,4
10,148,182,'16186.740000000001600710675120353699,'61.8674,4
11,147,181,'16179.670000000000072759576141834259,'61.7967,4
12,147,188,'16175.009999999998399289324879646301,'61.7501,4
13,149,181,'16151.970000000001164153218269348145,'61.5197,4
14,149,187,'16139.809999999999490682967007160187,'61.3981,4
15,145,183,'16136.429999999998472048901021480560,'61.3643,4
16,146,183,'16136.429999999998472048901021480560,'61.3643,4
17,146,182,'16136.429999999998472048901021480560,'61.3643,4
18,149,188,'16108.899999999999636202119290828705,'61.0890,4
19,148,181,'16101.229999999999563442543148994446,'61.0123,4
20,149,190,'16065.800000000001091393642127513885,'60.6580,4

MMM,,,,,

1,204,207,'16307.330000000003565219230949878693,'63.0733,18
2,205,206,'16240.150000000003274180926382541656,'62.4015,22
3,211,212,'16016.949999999998908606357872486115,'60.1695,16
4,203,214,'15855.929999999998472048901021480560,'58.5593,8
5,204,212,'15794.750000000000000000000000000000,'57.9475,8
6,202,215,'15792.780000000000654836185276508331,'57.9278,6
7,200,216,'15790.440000000000509317032992839813,'57.9044,6
8,200,214,'15765.120000000000800355337560176849,'57.6512,8
9,204,213,'15743.170000000005529727786779403687,'57.4317,8
10,203,212,'15717.670000000001891748979687690735,'57.1767,8
11,204,206,'15691.800000000001091393642127513885,'56.9180,20
12,203,206,'15684.549999999997453414835035800934,'56.8455,16
13,203,213,'15682.490000000001600710675120353699,'56.8249,8
14,202,213,'15667.170000000005529727786779403687,'56.6717,8
15,203,207,'15654.410000000005311449058353900909,'56.5441,14
16,200,215,'15633.660000000003492459654808044434,'56.3366,6
17,203,211,'15587.590000000001964508555829524994,'55.8759,8
18,201,215,'15584.230000000003201421350240707397,'55.8423,6
19,205,207,'15571.430000000005748006515204906464,'55.7143,18
20,199,215,'15563.070000000003346940502524375916,'55.6307,6

KO,,,,,

1,17,23,'12125.759999999998399289324879646301,'21.2576,16
2,16,23,'12018.349999999998544808477163314819,'20.1835,16
3,16,20,'11900.919999999998253770172595977783,'19.0092,24
4,244,242,'11847.869999999998981365934014320374,'18.4787,10
5,18,21,'11839.619999999993524397723376750946,'18.3962,22
6,16,21,'11837.550000000002910383045673370361,'18.3755,20
7,14,22,'11817.799999999999272404238581657410,'18.1780,14
8,246,241,'11812.070000000003346940502524375916,'18.1207,8
9,253,250,'11808.080000000005384208634495735168,'18.0808,12
10,5,6,'11790.289999999995416146703064441681,'17.9029,52
11,15,27,'11788.290000000000873114913702011108,'17.8829,14
12,251,243,'11786.400000000001455191522836685181,'17.8640,4
13,250,243,'11786.400000000001455191522836685181,'17.8640,4
14,33,34,'11781.859999999998763087205588817596,'17.8186,24
15,32,33,'11781.049999999993815436027944087982,'17.8105,24
16,32,36,'11766.630000000002837623469531536102,'17.6663,20
17,251,245,'11760.420000000000072759576141834259,'17.6042,6
18,253,248,'11753.330000000001746229827404022217,'17.5333,8
19,18,23,'11748.560000000003128661774098873138,'17.4856,16
20,249,239,'11746.819999999999708961695432662964,'17.4682,6

V,,,,,

1,8,6,'13346.840000000000145519152283668518,'33.4684,42
2,8,5,'13250.130000000001018634065985679626,'32.5013,40
3,8,7,'13159.930000000002110027708113193512,'31.5993,50
4,10,5,'13111.880000000002837623469531536102,'31.1188,30
5,9,5,'13084.229999999999563442543148994446,'30.8423,32
6,14,5,'13061.840000000003783497959375381470,'30.6184,22
7,9,6,'13048.340000000001964508555829524994,'30.4834,36
8,18,17,'12997.570000000003346940502524375916,'29.9757,30
9,15,5,'12991.230000000003201421350240707397,'29.9123,22
10,9,7,'12975.270000000004074536263942718506,'29.7527,42
11,13,5,'12867.799999999999272404238581657410,'28.6780,24
12,23,24,'12826.290000000002692104317247867584,'28.2629,20
13,11,5,'12791.850000000004001776687800884247,'27.9185,28
14,12,6,'12768.100000000000363797880709171295,'27.6810,22
15,12,5,'12764.150000000001455191522836685181,'27.6415,26
16,14,6,'12745.420000000000072759576141834259,'27.4542,22
17,12,4,'12744.050000000006548361852765083313,'27.4405,26
18,9,8,'12651.230000000005020410753786563873,'26.5123,50
19,17,5,'12609.840000000000145519152283668518,'26.0984,20
20,40,38,'12560.449999999995270627550780773163,'25.6045,16

CAT,,,,,

1,126,125,'15009.149999999995998223312199115753,'50.0915,14
2,132,116,'15004.140000000001236912794411182404,'50.0414,6
3,130,120,'14783.640000000001236912794411182404,'47.8364,8
4,128,119,'14645.000000000001818989403545856476,'46.4500,8
5,127,119,'14585.150000000001455191522836685181,'45.8515,8
6,127,120,'14584.559999999999490682967007160187,'45.8456,8
7,129,120,'14581.520000000002255546860396862030,'45.8152,8
8,123,121,'14567.000000000001818989403545856476,'45.6700,8
9,128,120,'14556.890000000001236912794411182404,'45.5689,8
10,125,120,'14547.710000000002764863893389701843,'45.4771,8
11,132,115,'14531.899999999999636202119290828705,'45.3190,6
12,128,124,'14528.330000000001746229827404022217,'45.2833,8
13,129,123,'14492.280000000000654836185276508331,'44.9228,8
14,132,119,'14478.890000000001236912794411182404,'44.7889,6
15,129,119,'14476.160000000001673470251262187958,'44.7616,6
16,124,121,'14464.040000000002692104317247867584,'44.6404,8
17,129,121,'14447.840000000000145519152283668518,'44.4784,8
18,132,118,'14446.130000000001018634065985679626,'44.4613,6
19,125,123,'14438.840000000001964508555829524994,'44.3884,10
20,128,122,'14436.520000000000436557456851005554,'44.3652,8

